,img,type,label,confidence
455,img_00054,Text,fenwele,78.1214599609375
456,img_00054,Text,numggee,50.56956481933594
457,img_00054,Text,or,47.02554702758789
458,img_00054,Text,achans Qi,72.68243408203125
459,img_00054,Text,lamatenmell,80.64277648925781
460,img_00054,Text,ton,66.05732727050781
461,img_00054,Text,bns,65.56082916259766
462,img_00054,Text,Tti,74.00133514404297
463,img_00054,Text,L,49.56101608276367
464,img_00054,Text,matmle,90.00978088378906
465,img_00054,Text,ne,58.46650695800781
466,img_00054,Text,Dtt,64.53903198242188
467,img_00054,Text,winctams,69.54874420166016
468,img_00054,Text,fenwele,78.1214599609375
469,img_00054,Text,numggee,50.56956481933594
470,img_00054,Text,or,47.02554702758789
471,img_00054,Text,Qi,67.99369812011719
472,img_00054,Text,achans,77.37117004394531
473,img_00055,Label,Human,99.11137390136719
474,img_00055,Label,People,99.11135864257812
475,img_00055,Label,Person,99.11137390136719
476,img_00055,Label,Chair,93.248046875
477,img_00055,Label,Furniture,93.248046875
478,img_00055,Label,Indoors,80.24214172363281
479,img_00055,Label,Reception,80.24214172363281
480,img_00055,Label,Reception Room,80.24214172363281
481,img_00055,Label,Room,80.24214172363281
482,img_00055,Label,Waiting Room,80.24214172363281
483,img_00055,Celebrity,Barack Obama,99.9983139038086
484,img_00055,Celebrity,Abraham Lincoln,99.6962890625
485,img_00055,Text,t,41.24119567871094
486,img_00055,Text,KX,67.16441345214844
487,img_00055,Text,t,41.24119567871094
488,img_00055,Text,KX,67.16441345214844
489,img_00058,Label,Bowl,99.17829132080078
490,img_00058,Label,Chair,99.01882934570312
491,img_00058,Label,Furniture,99.01882934570312
492,img_00058,Label,Dining Table,86.39205932617188
493,img_00058,Label,Table,86.39205932617188
494,img_00058,Label,Dining Room,82.78475952148438
495,img_00058,Label,Indoors,82.78475952148438
496,img_00058,Label,Interior Design,82.78475952148438
497,img_00058,Label,Room,82.78475952148438
498,img_00060,Label,Dish,88.15419006347656
499,img_00060,Label,Food,88.15419006347656
500,img_00060,Label,Meal,88.15419006347656
501,img_00060,Label,Plate,88.15419006347656
502,img_00060,Text,e,62.38334655761719
503,img_00060,Text,e,62.38334655761719
504,img_00061,Label,Aluminium,79.75048828125
505,img_00061,Label,Can,79.75048828125
506,img_00061,Label,Tin,79.75048828125
507,img_00061,Text,VICTORIAS,84.23234558105469
508,img_00061,Text,VICTORIAS,83.22818756103516
509,img_00061,Text,VICTORIAS SECRET,84.68643951416016
510,img_00061,Text,ICTORI,73.96966552734375
511,img_00061,Text,SECRET,79.46842193603516
512,img_00061,Text,tte,69.28529357910156
513,img_00061,Text,Tte,63.82746887207031
